"name","birth_place","death_place","gender","citizenship","occupation_str","birth_year","death_year"
"Camille Claudel","F?re-en-Tardenois","Montfavet","female","France","artist,painter,sculptor,art model,graphic artist,architectural draftsperson","1864","1943"
"Edgar Degas","Paris","Paris","male","France","photographer,poet,painter,sculptor,printmaker,drawer,lithographer","1834","1917"
"Georges Seurat","former 5th arrondissement of Paris","boulevard de Magenta","male","France","painter,architectural draftsperson,drawer","1859","1891"
"Gustave Caillebotte","Paris","Gennevilliers","male","France","lawyer,engineer,sailor,painter,philatelist,graphic artist,marine architect,art collector,patron of the arts","1848","1894"
"Henry Ossawa Tanner","Pittsburgh","6th arrondissement of Paris","male","United States of America","watercolorist,pastellist,photographer,illustrator,painter,university teacher,graphic artist,printmaker","1859","1937"
"John Singer Sargent","Florence","London","male","United States of America","architect,artist,painter,architectural draftsperson","1856","1925"
"Mary Cassatt","Allegheny","Le Mesnil-Théribus","female","United States of America","photographer,painter,etcher,printmaker","1844","1926"
"Guo Xi","Wen County","Kaifeng","male","Song dynasty","writer,painter","1020","1090"
"Wang Wei","Yongji","Chang'an","male","Tang dynasty","writer,poet,politician,musician,painter,calligrapher","0699","0759"
"Wu Guanzhong","Yixing","Beijing","male","People's Republic of China","painter","1919","2010"
"Antonio Berni","Rosario","Buenos Aires","male","Argentina","painter,sculptor,muralist,printmaker","1905","1981"
"John Chamberlain","Rochester","Manhattan","male","United States of America","photographer,patent inventor,painter,sculptor,filmmaker,drawer","1927","2011"
"Abraham Palatnik","Natal","Rio de Janeiro","male","Brazil","artist,painter,glass artist","1928","2020"
"Jean Tinguely","Fribourg","Bern","male","Switzerland","illustrator,painter,sculptor,graphic artist,visual artist,performance artist,installation artist,kinetic artist","1925","1991"
"Takis","Athens","Athens","male","Greece","sculptor,jewelry designer,drawer","1925","2019"
"Isidore Isou","Boto?ani","6th arrondissement of Paris","male","France","writer,poet,playwright,musician,painter,filmmaker,film director,film critic,philosopher,novelist","1925","2007"
"Nanda Vigo","Milan","Milan","female","Italy","architect,designer","1936","2020"
"Otto Piene","Bad Laasphe","Berlin","male","Germany","painter,sculptor,drawer","1928","2014"
"Antonio Donghi","Rome","Rome","male","Italy","painter","1897","1963"
"Cagnaccio di San Pietro","Desenzano del Garda","Venice","male","Kingdom of Italy","painter","1897","1946"
"Leonor Fini","Buenos Aires","Aubervilliers","female","France","writer,engraver,author,artist,illustrator,painter,costume designer,jewelry designer,scenographer,designer","1907","1996"
"Giorgio de Chirico","Volos","Rome","male","Italy","writer,illustrator,painter,sculptor,jewelry designer,scenographer,printmaker,drawer","1888","1978"
"Dadamaino","Milan","Milan","female","Italy","painter","1930","2004"
"Gego","Hamburg","Caracas","female","Venezuela","teacher,architect,illustrator,painter,sculptor,visual artist,drawer","1912","1994"
"Jan Groth","Stavanger","Oslo","male","Norway","painter,designer,drawer","1938","2022"
"Keith Sonnier","Mamou","Southampton Hospital","male","United States of America","artist,sculptor,multimedia artist,performance artist,printmaker,video artist","1941","2020"
"Richard Serra","San Francisco","Orient","male","United States of America","television producer,painter,sculptor,visual artist,drawer,video artist","1938","2024"
"Fernando Botero","Medellín","Monaco","male","France","illustrator,painter,sculptor,architectural draftsperson,drawer","1932","2023"
"Frida Kahlo","Coyoacán","Coyoacán","female","Mexico","painter","1907","1954"
"Jean-Michel Basquiat","Brooklyn","New York City","male","United States of America","photographer,actor,composer,record producer,painter,sculptor,visual artist,architectural draftsperson,musicologist,graffiti artist,drawer,installation artist,artivist","1960","1988"
"Amilcar de Castro","Paraisópolis","Belo Horizonte","male","Brazil","graphic designer,painter,sculptor","1920","2002"
"Claes Oldenburg","Stockholm","Manhattan","male","United States of America","painter,sculptor,graphic artist,visual artist,designer,performance artist,printmaker,architectural draftsperson,drawer","1929","2022"
"Daniel Spoerri","Gala?i","Vienna","male","Switzerland","editing staff,painter,sculptor,university teacher,choreographer,visual artist,director,dancer,performance artist,printmaker","1930","2024"
"Gianfranco Baruchello","Livorno","Rome","male","Italy","writer,poet,painter,film director,performance artist,drawer","1924","2023"
"Jimmie Durham","Houston","Berlin","male","United States of America","photographer,writer,poet,sculptor,visual artist,performance artist,video artist","1940","2021"
"Nam June Paik","Seoul","Miami","male","United States of America","photographer,composer,television producer,painter,university teacher,visual artist,multimedia artist,pioneer,installation artist,video artist","1932","2006"
"Keith Haring","Reading","Manhattan","male","United States of America","photographer,writer,painter,cartoonist,sculptor,graphic artist,jewelry designer,muralist,visual artist,social activist,architectural draftsperson,graffiti artist,drawer","1958","1990"
"Michel Majerus","Esch-sur-Alzette","Niederanven","male","Luxembourg","artist,painter,sculptor","1967","2002"
"Antonio Canova","Possagno","Venice","male","Republic of Venice","architect,painter,sculptor,drawer","1757","1822"
"Jacques-Louis David","Paris","City of Brussels","male","France","politician,painter,architectural draftsperson","1748","1825"
"Hieronymus Bosch","'s-Hertogenbosch","'s-Hertogenbosch","male","Southern Netherlands","painter,visual artist,architectural draftsperson,drawer","1450","1516"
"Mimmo Rotella","Catanzaro","Milan","male","Italy","photographer,poet,painter,sculptor,lithographer","1918","2006"
"Alvin Langdon Coburn","Boston","Rhos-on-Sea","male","United States of America","photographer","1882","1966"
"Lewis Carroll","Daresbury","The Chestnuts","male","England","photographer,writer,poet,deacon,mathematician,children's writer,philosopher,novelist,logician,autobiographer,diarist","1832","1898"
"Allen Jones","Edgecombe County","Northampton County","male","United States of America","politician","1739","1798"
"Corita Kent","Fort Dodge","Boston","female","United States of America","artist,graphic designer,postage stamp designer,printmaker","1918","1986"
"Evelyne Axell","Namur","Ghent","female","Belgium","actor,painter,visual artist","1935","1972"
"James Rosenquist","Grand Forks","New York City","male","United States of America","photographer,painter,sculptor,visual artist,designer,printmaker","1933","2017"
"Konrad Klapheck","Düsseldorf","Düsseldorf","male","Germany","screenwriter,teacher,painter,graphic artist,printmaker,architectural draftsperson","1935","2023"
"Patrick Caulfield","London","London","male","United Kingdom","artist,illustrator,painter,serigrapher","1936","2005"
"Pauline Boty","London","Royal Marsden Hospital","female","United Kingdom","actor,artist,painter","1938","1966"
"Amrita Sher-Gil","Budapest","Lahore","female","British Raj","painter","1913","1941"
"Medardo Rosso","Turin","Milan","male","Italy","photographer,writer,artist,sculptor,designer","1858","1928"
"Jannis Kounellis","Piraeus","Rome","male","Italy","painter","1936","2017"
"Lenore Tawney","Lorain","New York City","female","United States of America","artist,designer,textile artist","1907","2007"
"Phyllida Barlow","Newcastle upon Tyne","London","female","United Kingdom","artist,painter,sculptor,university teacher,visual artist,installation artist","1944","2023"
"James Webb","Chelsea","London","male","United Kingdom","painter","1835","1895"
"Antoine Watteau","Valenciennes","Nogent-sur-Marne","male","France","artist,painter,graphic artist,visual artist,printmaker,architectural draftsperson,drawer","1684","1721"
"Caspar David Friedrich","Greifswald","Dresden","male","Sweden","painter,sculptor,printmaker,architectural draftsperson,drawer,watercolorist,landscape painter","1774","1840"
"John Martin","Haydon Bridge","Douglas","male","United Kingdom","writer,architect,engraver,artist,illustrator,painter,graphic artist,etcher,printmaker,watercolorist,landscape painter,history painter,soldier,trumpeter,botanist,non-fiction writer","1789","1854"
"John Ruskin","London","Coniston","male","United Kingdom","writer,architect,poet,painter,university teacher,art historian,journalist,sociologist,art critic,literary critic,philosopher,aesthetician,daguerreotypist","1819","1900"
"Julia Margaret Cameron","Garden Reach","Kalutara","female","United Kingdom of Great Britain and Ireland","photographer,writer,artist","1815","1879"
"William Morris","London","London","male","United Kingdom","architect,poet,politician,graphic designer,illustrator,painter,designer,prose writer,science fiction writer,talent agent","1834","1896"
"Lewis Hine","Oshkosh","Hastings-on-Hudson","male","United States of America","photographer,photojournalist,sociologist","1874","1940"
"Agostino Bonalumi","Vimercate","Desio","male","Italy","artist,painter,sculptor,visual artist,drawer","1935","2013"
"Lucio Fontana","Rosario","Comabbio","male","Italy","painter,sculptor,jewelry designer,visual artist,designer,ceramicist,architectural draftsperson,drawer","1899","1968"
"Dado","Cetinje","Pontoise","male","France","painter,sculptor,printmaker,drawer","1933","2010"
"Dora Maar","6th arrondissement of Paris","4th arrondissement of Paris","female","France","photographer,writer,poet,painter,sculptor,choreographer,model,etcher","1907","1997"
"Dorothea Tanning","Galesburg","New York City","female","United States of America","writer,poet,artist,illustrator,painter,sculptor,jewelry designer,scenographer,designer,novelist,printmaker,manufacturer,lithographer,autobiographer","1910","2012"
"Edward Weston","Highland Park","Carmel-by-the-Sea","male","United States of America","photographer,diarist","1886","1958"
"Leonora Carrington","Clayton-le-Woods","Mexico City","female","Mexico","artist,painter,sculptor,scenographer,novelist,drawer","1917","2011"
"Meret Oppenheim","Berlin","Basel","female","Switzerland","photographer,artist,illustrator,lyricist,painter,sculptor,jewelry designer,visual artist,model,drawer","1913","1985"
"Alfred Kubin","Litomìøice","Wernstein am Inn","male","Austria","photographer,writer,illustrator,painter,etcher,drawer","1877","1959"
"William Blake","London","London","male","United Kingdom","writer,poet,printer,artist,illustrator,painter,theologian,sculptor,collector,philosopher,librettist,printmaker,drawer,lithographer,comics artist","1757","1827"
"Georges Mathieu","Boulogne-sur-Mer","Boulogne-Billancourt","male","France","artist,painter,medalist,postage stamp designer,ceramicist,drawer,art theorist","1921","2012"
"Hans Hartung","Leipzig","Antibes","male","France","photographer,painter,graphic artist,calligrapher,visual artist,ceramicist,drawer","1904","1989"
"Else Alfelt","Copenhagen","Rigshospitalet","female","Kingdom of Denmark","painter","1910","1974"
"Luchita Hurtado","Maiquetía","Santa Monica","female","United States of America","painter,printmaker,lithographer","1920","2020"
"Barkley L. Hendricks","Philadelphia","New London","male","United States of America","photographer,professor,painter","1945","2017"
"György Kepes","Lõrinci","Los Angeles","male","Hungary","photographer,writer,teacher,painter,pedagogue,visual artist,designer,art theorist","1906","2001"
"John Heartfield","Schmargendorf","East Berlin","male","Germany","photographer,poster artist,painter,graphic artist,publisher,designer,collagist","1891","1968"
"Albert Namatjira","Hermannsburg","Alice Springs","male","Australia","painter","1902","1959"
"David Bowie","Brixton","New York City","male","United Kingdom","actor,composer,singer,record producer,pianist,singer-songwriter,musician,mime artist,songwriter,bandleader,guitarist,painter,music video director,vocalist,film producer,librettist,art collector,film actor,occultist,saxophonist,manufacturer","1947","2016"
"Judith Scott","Columbus","Dutch Flat","female","United States of America","artist,sculptor,textile artist","1943","2005"
"Jason Rhoades","Newcastle","Los Angeles","male","United States of America","visual artist,installation artist","1965","2006"
"Tony Feher","Albuquerque","New York City","male","United States of America","visual artist","1956","2016"
"Claude Cahun","Nantes","Saint Helier","non-binary","France","photographer,writer,artist,painter,sculptor,resistance fighter","1894","1954"
"Margaret Bourke-White","The Bronx","Stamford","female","United States of America","photographer,writer,artist,photojournalist,journalist,war photographer","1904","1971"
"Robert Delaunay","Paris","Montpellier","male","France","painter,visual artist,designer,theatre designer","1885","1941"
"Berenice Abbott","Springfield","Monson","female","United States of America","photographer,inventor,artist,architectural photographer","1898","1991"
"Maxime Du Camp","Paris","Baden-Baden","male","France","photographer,writer,poet,journalist,art critic,literary critic","1822","1894"
"Marcel Breuer","Pécs","New York City","male","Hungary","architect,university teacher,designer,furniture designer","1902","1981"
"Wilhelm Lehmbruck","Duisburg","Berlin","male","German Empire","illustrator,painter,sculptor,graphic artist,drawer","1881","1919"
"Bill Viola","Queens","Long Beach","male","United States of America","screenwriter,composer,cinematographer,artist,television producer,musician,film director,visual artist,multimedia artist,installation artist,video artist","1951","2024"
"Robert Mapplethorpe","Floral Park","Boston","male","United States of America","photographer,artist,sculptor,film director,photo artist,collagist","1946","1989"
"Zaha Hadid","Baghdad","Miami","female","United Kingdom","architect,artist,painter,sculptor,university teacher,jewelry designer,designer","1950","2016"
"Helmut Newton","Berlin","Los Angeles","male","Germany","photographer,photojournalist,fashion photographer","1920","2004"
"Chuck Close","Monroe","Oceanside","male","United States of America","photographer,painter,printmaker,drawer,collagist","1940","2021"
"Walter Gropius","Berlin","Boston","male","Germany","teacher,architect,urban planner,pedagogue,designer","1883","1969"
"Dan Graham","Urbana","Manhattan","male","United States of America","photographer,architect,sculptor,journalist,visual artist,performance artist,printmaker,essayist,video artist,conceptual artist","1942","2022"
"Carl Fredrik Hill","Lund","Lund","male","Sweden","painter","1849","1911"
"Colin McCahon","Timaru","Auckland","male","New Zealand","painter","1919","1987"
"Angelo Morbelli","Alessandria","Milan","male","Kingdom of Italy","painter","1853","1919"
"James Gillray","Chelsea","London","male","United Kingdom","illustrator,painter,cartoonist,graphic artist,caricaturist,printmaker,drawer","1756","1815"
"Giuseppe Capogrossi","Rome","Rome","male","Italy","painter,graphic artist,drawer","1900","1972"
"Albert Renger-Patzsch","Würzburg","Wamel","male","Germany","photographer","1897","1966"
"Jessie Tarbox Beals","Hamilton","New York City","female","United States of America","photographer,photojournalist,journalist","1870","1942"
"Ivan Kožariæ","Petrinja","Zagreb","male","Croatia","sculptor","1921","2020"
"Heidi Bucher","Winterthur","Brunnen","female","Switzerland","artist,sculptor,visual artist,performance artist,drawer","1926","1993"
"Coco Chanel","Saumur","Hôtel Ritz Paris","female","France","costume designer,business executive,fashion designer,grand couturier,modiste,textile designer","1883","1971"
"Mona Saudi","Amman","Beirut","female","Jordan","sculptor","1945","2022"
"Benet Rossell","?ger","Barcelona","male","Spain","artist","1937","2016"
"Consuelo Kanaga","Astoria","New York City","female","United States of America","photographer","1894","1978"
"Erich Salomon","Berlin","Auschwitz II-Birkenau concentration camp","male","German Reich","photographer,reporter,jurist,photojournalist,journalist","1886","1944"
"Achille Funi","Ferrara","Appiano Gentile","male","Italy","painter,sculptor,scenic designer","1890","1972"
"Bhupen Khakhar","Mumbai","Vadodara","male","India","painter","1934","2003"
"Kiki Kogelnik","Graz","Vienna","female","Austria","painter,sculptor,graphic artist","1935","1997"
"Helen Chadwick","London","London","female","United Kingdom","photographer,artist,sculptor,conceptual artist","1953","1996"
"Geraldo de Barros","S?o Paulo","S?o Paulo","male","Brazil","photographer,painter,typographer,designer","1923","1998"
"Johann Georg Platzer","Eppan an der Weinstraße","Eppan an der Weinstraße","male","Austria","painter,sculptor,carver,drawer","1704","1761"
"Johan Thorn Prikker","The Hague","Cologne","male","Kingdom of the Netherlands","painter,sculptor,university teacher,graphic artist,stained-glass artist,designer,ceramicist,textile artist","1868","1932"
"Gaganendranath Tagore","Kolkata","Kolkata","male","British Raj","painter,cartoonist","1867","1938"
"Franz Xaver Messerschmidt","Wiesensteig","Bratislava","male","Germany","sculptor","1732","1783"
"Claude Parent","Neuilly-sur-Seine","Paris","male","France","architect,university teacher","1923","2016"
"Gustav Metzger","Nuremberg","London","male","Germany","photographer,artist,painter,visual artist","1926","2017"
"J. J. Grandville","Nancy","Vanves","male","France","illustrator,painter,caricaturist,drawer,lithographer","1803","1847"
"Beverly Pepper","New York City","Todi","female","United States of America","artist,painter,sculptor,land artist","1922","2020"
"Gjon Mili","Korçë","Stamford","male","United States of America","photographer,cinematographer,film director","1904","1984"
"Franz West","Vienna","Vienna","male","Austria","drawer,installation artist,conceptual artist,photographer,performing artist,sculptor,visual artist,performance artist","1947","2012"
"John White","London","County Cork","male","United Kingdom of Great Britain and Ireland","artist,painter,cartographer,world traveler,scientific illustrator","1540","1593"
"Jiøí Koláø","Protivín","Prague","male","France","writer,poet,playwright,translator,painter,graphic artist,collector,visual artist,drawer,patron of the arts,collagist","1914","2002"
"Carlo Levi","Turin","Rome","male","Italy","screenwriter,writer,physician,politician,physician writer,painter,journalist","1902","1975"
"Tomie Ohtake","Kyoto","S?o Paulo","female","Brazil","artist,painter,sculptor","1913","2015"
"Elizabeth Catlett","Washington, D.C.","Cuernavaca","female","United States of America","teacher,illustrator,painter,sculptor,printmaker,art educator","1915","2012"
"Günter Brus","Ardning","Graz","male","Austria","photographer,writer,poet,painter,graphic artist,film director,visual artist,performance artist,drawer","1938","2024"
"Tunga","Palmares","Rio de Janeiro","male","Brazil","sculptor,performance artist,conceptual artist","1952","2016"
"Carl Andre","Quincy","New York City","male","United States of America","writer,poet,artist,illustrator,painter,sculptor,visual artist,sports journalist,drawer,land artist","1935","2024"
"Coosje van Bruggen","Groningen","Los Angeles","female","United States of America","curator,sculptor,art historian,art critic","1942","2009"
"Tom Wesselmann","Cincinnati","New York City","male","United States of America","painter,sculptor,visual artist,printmaker,drawer,lithographer","1931","2004"
"Luciano Fabro","Turin","Milan","male","Italy","writer,artist,sculptor,visual artist,performance artist,conceptual artist","1936","2007"
"Nandalal Bose","Tarapur","Shantiniketan","male","India","writer,painter,printmaker","1882","1966"
"Huang Yong Ping","Xiamen","13th arrondissement of Paris","male","France","performing artist,painter,sculptor,drawer,installation artist","1954","2019"
"Emilio Vedova","Venice","Venice","male","Italy","partisan,artist,painter,graphic artist,printmaker,drawer,lithographer","1919","2006"
"Magdalena Abakanowicz","Falenty","Warsaw","female","Poland","artist,painter,sculptor,university teacher,designer,textile artist,performance artist,athletics competitor,architectural draftsperson","1930","2017"
"Isamu Noguchi","Los Angeles","New York City","male","Japan","architect,painter,sculptor,landscape architect,designer,furniture designer","1904","1988"
"Irving Penn","Plainfield","Manhattan","male","United States of America","photographer,artist,fashion photographer","1917","2009"
"Mario Merz","Milan","Turin","male","Italy","artist,painter,sculptor,visual artist,drawer,installation artist","1925","2003"
"Richard Avedon","New York City","San Antonio","male","United States of America","photographer,designer,fashion photographer","1923","2004"
"Ansel Adams","San Francisco","Carmel-by-the-Sea","male","United States of America","photographer,writer,pianist,university teacher,environmentalist,mountaineer,documentary photographer","1902","1984"
"Cecil Beaton","Hampstead","Salisbury","male","United Kingdom","photographer,painter,costume designer,designer,war photographer,autobiographer,diarist,fashion photographer","1904","1980"
"Tadeusz Kantor","Wielopole Skrzyñskie","Kraków","male","Poland","painter,sculptor,scenographer,theatrical director,visual artist,aphorist","1915","1990"
"Per Kirkeby","Copenhagen","Copenhagen","male","Kingdom of Denmark","writer,poet,artist,geologist,painter,sculptor,filmmaker,university teacher,graphic artist,film director,drawer","1938","2018"
"Fortunato Depero","Fondo","Rovereto","male","Italy","photographer,writer,poet,artist,graphic designer,painter,sculptor,costume designer,graphic artist,scenographer,visual artist,designer,ceramicist","1892","1960"
"Otto Dix","Untermhaus","Singen","male","Germany","Esperantist,painter,sculptor,university teacher,printmaker,drawer,lithographer","1891","1969"
"Barbara Hepworth","Wakefield","St Ives","female","United Kingdom","photographer,artist,painter,sculptor,visual artist,drawer","1903","1975"
"Cornelius Krieghoff","Amsterdam","Chicago","male","Canada","artist,painter,portraitist","1815","1872"
"Chris Burden","Boston","Topanga","male","United States of America","television producer,sculptor,stage actor,performance artist,printmaker,installation artist,video artist,conceptual artist","1946","2015"
"Ettore Sottsass","Innsbruck","Milan","male","Italy","photographer,architect,businessperson,painter,jewelry designer,designer,industrial designer","1917","2007"
"Yves Klein","Nice","Paris","male","France","photographer,composer,artist,painter,sculptor,jewelry designer,visual artist,judoka,performance artist,drawer,conceptual artist","1928","1962"
"Eero Saarinen","Kirkkonummi","Ann Arbor","male","United States of America","architect,designer","1910","1961"
"Marc Chagall","Liozna","Saint-Paul-de-Vence","male","France","poet,illustrator,painter,sculptor,graphic artist,scenographer,designer,ceramicist,printmaker,architectural draftsperson,drawer,lithographer","1887","1985"
"Tina Modotti","Udine","Mexico City","female","Kingdom of Italy","photographer,actor,artist,stage actor,model,film actor,activist","1896","1942"
"Frank Lloyd Wright","Richland Center","Phoenix","male","United States of America","writer,architect,urban planner,designer","1867","1959"
"Giuseppe Arcimboldo","Milan","Milan","male","Duchy of Milan","painter,designer,architectural draftsperson,tapestry designer","1527","1593"
"Alvar Aalto","Kuortane","Helsinki","male","Finland","architect,urban planner,designer","1898","1976"
"Edward Steichen","Bivange","Redding","male","United States of America","photographer,curator,exhibition curator,painter,art historian,film director,war photographer,drawer,fashion photographer","1879","1973"
"Walker Evans","St. Louis","New Haven","male","United States of America","photographer,photojournalist,journalist","1903","1975"
"Felice Beato","Venice","Florence","male","Italy","photographer,artist,photojournalist,journalist,architectural photographer,war photographer","1832","1909"
"Francis Frith","Chesterfield","Cannes","male","United Kingdom","photographer","1822","1898"
"Alessandro Mendini","Milan","Milan","male","Italy","architect,editing staff,visual artist,designer","1931","2019"
"Edward Hopper","Nyack","New York City","male","United States of America","engraver,illustrator,painter,graphic artist,drawer","1882","1967"
"Gordon Parks","Fort Scott","New York City","male","United States of America","screenwriter,photographer,actor,writer,composer,poet,artist,photojournalist,journalist,film director,film producer,director,novelist,film actor,fashion photographer","1912","2006"
"Henri Rousseau","Laval","Paris","male","France","artist,painter,printmaker","1844","1910"
"JR","El Triunfo","Fredonia","male","Ecuador","drug trafficker","1984","2023"
"Eadweard Muybridge","Kingston upon Thames","Royal Borough of Kingston upon Thames","male","United States of America","photographer,inventor,bookseller,film director,film actor","1830","1904"
"Hokusai","Honjo","Asakusa","male","Japan","artist,illustrator,painter,xylographer,graphic artist,visual artist,designer,printmaker,architectural draftsperson,drawer,ukiyo-e artist","1760","1849"
"Franz von Stuck","Tettenweis","Munich","male","Germany","teacher,architect,painter,sculptor,university teacher,graphic artist","1863","1928"
"Frida Hansen","Hillev?g","Oslo","female","Norway","textile artist","1855","1931"
"Ray Eames","Sacramento","Los Angeles","female","United States of America","screenwriter,architect,graphic artist,film director,production designer,designer,lithographer","1912","1988"
"Paul Cadmus","New York City","Weston","male","United States of America","photographer,painter,printmaker,drawer","1904","1999"
"Angus Fairhurst","Pembury","Bridge of Orchy","male","United Kingdom","photographer,artist,television producer,painter,sculptor,drawer,installation artist,video artist","1966","2008"
"Paul Strand","New York City","Orgeval","male","United States of America","photographer,cinematographer,film director,film producer","1890","1976"
"Nada","Tolmin","Gorizia","female","Italy","writer,teacher,poet","1910","1993"
"Tony Conrad","Concord","Cheektowaga","male","United States of America","writer,composer,television producer,musician,painter,film score composer,film director,film actor,video artist","1940","2016"
"Duane Hanson","Alexandria","Boca Raton","male","United States of America","photographer,painter,sculptor,installation artist","1925","1996"
"Gerrit Rietveld","Utrecht","Utrecht","male","Kingdom of the Netherlands","photographer,architect,graphic designer,designer,furniture designer","1888","1964"
"Willem de Kooning","Rotterdam","East Hampton","male","United States of America","painter,sculptor,university teacher,designer,printmaker,drawer","1904","1997"
"Richard Jackson","Villada","Madrid","male","Spain","journalist,novelist,trade unionist","1908","1991"
"Joan Brown","San Francisco","Puttaparthi","female","United States of America","artist,painter","1938","1990"
"Alejandro Otero","El Manteco","Caracas","male","Venezuela","painter,sculptor","1921","1990"
"Carmen Herrera","Havana","Manhattan","female","Cuba","artist,painter,sculptor","1915","2022"
"Chantal Akerman","Etterbeek","20th arrondissement of Paris","female","Belgium","screenwriter,photographer,actor,writer,cinematographer,artist,performing artist,filmmaker,university teacher,film director,film producer,visual artist,director,video installation artist","1950","2015"
"Francisco de Goya","Fuendetodos","Bordeaux","male","Spain","painter,visual artist,etcher,printmaker,drawer,lithographer","1746","1828"
"Birgit Jürgenssen","Vienna","Vienna","female","Austria","photographer,painter,graphic artist,new media artist,drawer","1949","2003"
"Anthony Gross","Dulwich","Le Boulvé","male","United Kingdom","illustrator,painter,filmmaker,printmaker","1905","1984"
"Josep Lluís Sert","Barcelona","Barcelona","male","Spain","architect,urban planner,university teacher","1902","1983"
"Gaetano Pesce","La Spezia","New York City","male","Italy","architect,entrepreneur,author,sculptor,university teacher,interior designer,jewelry designer,designer,performance artist,industrial designer,furniture designer","1939","2024"
"Carlo Scarpa","Venice","Sendai","male","Italy","architect,professor,designer","1906","1978"
"Louis Sullivan","Boston","Chicago","male","United States of America","architect,designer","1856","1924"
"Irene","New York City","New York City","female","United States of America","singer,jazz musician","1930","2008"
"David Weiss","Strigno","Vienna","male",,"copper engraver","1775","1846"
"Fabio Mauri","Rome","Rome","male","Italy","screenwriter,writer,artist,performance artist,installation artist,conceptual artist","1926","2009"
"Brigitte Kowanz","Vienna","Vienna","female","Austria","photographer,artist,sculptor,university teacher,installation artist","1957","2022"
"Getulio Alviani","Udine","Milan","male","Italy","author,painter,sculptor,university teacher,jewelry designer,visual artist,designer,printmaker,kinetic artist","1939","2018"
"Hu","Xinjian District","Beijing","male","People's Republic of China","biologist,botanist,faculty member","1894","1968"
"Gastone Novelli","Ancona","Padua","male","Kingdom of Italy","aircraft pilot","1895","1919"
"Carol Rama","Turin","Turin","female","Italy","painter,textile artist,drawer","1918","2015"
"Arman","Nice","New York City","male","United States of America","illustrator,painter,sculptor,jewelry designer,visual artist,performance artist,drawer","1928","2005"
"Eva Kmentová","Prague","Prague","female","Czechoslovakia","sculptor,drawer","1928","1980"
"John Hill","London","Clarksville","male","Kingdom of Great Britain","engraver,painter,printmaker","1770","1850"
"Pan Yuliang","Anhui","14th arrondissement of Paris","female","France","painter","1895","1977"
"Mario Broglio","Piacenza","Lucca","male","Italy","writer,painter,sculptor","1891","1948"
"John Smith","Daventry","Northamptonshire","male","Kingdom of Great Britain","engraver,visual artist,printseller","1652","1742"
"Gunter Damisch","Steyr","Vienna","male","Austria","musician,painter,sculptor,university teacher,graphic artist","1958","2016"
"Aldo Rossi","Milan","Milan","male","Italy","screenwriter,architect,urban planner,university teacher,designer","1931","1997"
"Louis Vivin","Hadol","Paris","male","France","painter","1861","1936"
"Sam Francis","San Mateo","Santa Monica","male","United States of America","illustrator,painter,sculptor,graphic artist,lithographer","1923","1994"
"Max Bill","Winterthur","Berlin","male","Switzerland","photographer,architect,politician,graphic designer,painter,sculptor,university teacher,designer","1908","1994"
"Adolf Hitler","Braunau am Inn","Führerbunker","male","Austria","politician","1889","1945"
"Adolf Dietrich","Berlingen","Berlingen","male","Switzerland","photographer,painter","1877","1957"
"Bracha L. Ettinger","Tel Aviv",,"female","France","photographer,painter,psychoanalyst,philosopher","1948",
"Mikalojus Konstantinas Ciurlionis","Var?na","Warsaw","male","Russian Empire","composer,painter","1875","1911"
"M.F. Husain","Pandharpur","London","male","India","screenwriter,photographer,politician,artist,painter,film director,film producer","1915","2011"
"Inigo Manglano-Ovalle","Madrid",,"male","Spain","photographer,artist,sculptor,installation artist,video artist","1961",
"Jean-Pierre Raynaud",,,"male","France","politician,pensioner","1947",
"Laszlo Moholy-Nagy","Bácsborsód","Chicago","male","Hungary","photographer,architect,graphic designer,painter,sculptor,film director,designer","1895","1946"
"Beatriz González","Bucaramanga",,"female","Colombia","engraver,curator,painter,sculptor,art historian,art critic,researcher,explorer,singer","1932","http"
"John McLaughlin","Doncaster","Los Angeles","male","United Kingdom","songwriter,guitarist,jazz musician,recording artist,translator,painter,linguist,drawer,television presenter,journalist,politician,actor,television actor,association football player,Catholic priest,Catholic bishop,researcher,basketball player,American football player","1942","1976"
"Angelo de Sousa","Maputo","Porto","male","Portugal","painter,sculptor","1938","2011"
"Carsten Holler","City of Brussels",,"male","Belgium","visual artist,performance artist","1961",
"Ha Chong-Hyun",,,"male","South Korea","painter","1935",
"Lee Quinones","Ponce",,"male","United States of America","actor,painter,graffiti artist","1960",
"Ayse Erkmen","Istanbul",,"female","Turkey","sculptor,installation artist","1949",
"Jay DeFeo","Hanover","Oakland","female","United States of America","photographer,artist,painter,sculptor,visual artist","1929","1989"
"Li Yuan-chia","Lingui District","Cumbria","male","Taiwan","poet,painter","1929","1994"
"Ding Yi","Suixi County","Beijing","male","China","politician,table tennis player,playwright,librettist,actor,film actor,writer,military personnel,aircraft pilot,businessperson,electronician,historian,literary critic,artist,graphic artist,drawer","0150","0220"
"Ad Reinhardt","Buffalo","New York City","male","United States of America","painter,university teacher,printmaker,collagist","1913","1967"
"Erik Bulatov","Yekaterinburg",,"male","Russia","photographer,painter,sculptor,conceptual artist","1933",
"Fernand Leger","Argentan","Gif-sur-Yvette","male","France","teacher,illustrator,painter,sculptor,costume designer,filmmaker,graphic artist,film director,scenographer,designer,ceramicist,printmaker,architectural draftsperson,drawer,director,producer","1881","1955"
